Year,m,d,Time,Time zone,Precipitation amount (mm),Air temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
2017,5,1,00:00,UTC,-1,7.6,12.4,1.5
2017,5,2,00:00,UTC,-1,9.4,16,1.3
2017,5,3,00:00,UTC,-1,9.2,14.1,3.3
2017,5,4,00:00,UTC,-1,6.7,11.2,3
2017,5,5,00:00,UTC,-1,10.1,18,1.4
2017,5,6,00:00,UTC,-1,11.1,15.1,6.6
2017,5,7,00:00,UTC,-1,6.1,11.3,2.3
2017,5,8,00:00,UTC,-1,4.4,8.2,2.7
2017,5,9,00:00,UTC,0.2,1.5,5.1,0.3
2017,5,10,00:00,UTC,3.2,1.5,5.8,-2
2017,5,11,00:00,UTC,0.4,2.9,7.9,-2.1
2017,5,12,00:00,UTC,-1,5.1,11,-1.8
2017,5,13,00:00,UTC,-1,7.5,13.2,0.5
2017,5,14,00:00,UTC,-1,9.8,14.5,2.2
2017,5,15,00:00,UTC,0.9,9,14.8,7.7
2017,5,16,00:00,UTC,-1,7.3,11.8,0.1
2017,5,17,00:00,UTC,0.7,9.4,13.4,5.6
2017,5,18,00:00,UTC,-1,11.2,14.8,8.6
2017,5,19,00:00,UTC,-1,16.1,22.7,9.3
2017,5,20,00:00,UTC,-1,16.9,21.4,14.8
2017,5,21,00:00,UTC,-1,14.7,18.5,9.7
2017,5,22,00:00,UTC,-1,14.6,19.8,9
2017,5,23,00:00,UTC,-1,13.3,18.8,8.5
2017,5,24,00:00,UTC,-1,12.4,16.9,9.5
2017,5,25,00:00,UTC,-1,14.1,20.5,8.7
2017,5,26,00:00,UTC,3.6,14.1,19.8,7.6
2017,5,27,00:00,UTC,-1,9.6,16.7,6.8
2017,5,28,00:00,UTC,1,13.2,17.8,7.9
2017,5,29,00:00,UTC,-1,14.1,19.4,12.2
2017,5,30,00:00,UTC,5.4,9.6,13.3,4.4
2017,5,31,00:00,UTC,0.7,10.8,15.9,8.6
2017,6,1,00:00,UTC,1,6.5,11.7,4.4
2017,6,2,00:00,UTC,-1,6.2,9.3,2.4
2017,6,3,00:00,UTC,-1,10,16.2,3.6
2017,6,4,00:00,UTC,-1,9.9,15.9,5.1
2017,6,5,00:00,UTC,4.1,10.4,12.3,9.1
2017,6,6,00:00,UTC,-1,14.5,20,8.3
2017,6,7,00:00,UTC,1.3,16.4,20.9,9
2017,6,8,00:00,UTC,26.5,12.3,18.3,10.9
2017,6,9,00:00,UTC,-1,14,18.7,10.9
2017,6,10,00:00,UTC,-1,16.3,20.4,10.2
2017,6,11,00:00,UTC,5.3,16.8,21.9,13.3
2017,6,12,00:00,UTC,18.6,12.6,16.2,11.4
2017,6,13,00:00,UTC,0.6,12.6,18.6,10.9
2017,6,14,00:00,UTC,-1,14.8,20.3,6.6
2017,6,15,00:00,UTC,-1,15.1,20.2,8.7
2017,6,16,00:00,UTC,-1,18.4,22.9,11.5
2017,6,17,00:00,UTC,-1,19.3,24.5,13.7
2017,6,18,00:00,UTC,-1,16.9,19.8,13.9
2017,6,19,00:00,UTC,4.7,17.8,22.7,14.8
2017,6,20,00:00,UTC,2.7,12.7,18.2,10.8
2017,6,21,00:00,UTC,5.2,12.4,18.1,9.2
2017,6,22,00:00,UTC,1.4,12.2,17.4,8.7
2017,6,23,00:00,UTC,-1,10.8,15.4,6.5
2017,6,24,00:00,UTC,4.5,12.9,17.1,9
2017,6,25,00:00,UTC,-1,14,17.4,10.8
2017,6,26,00:00,UTC,-1,13.5,16.1,11.4
2017,6,27,00:00,UTC,0.4,13.7,17.5,11.3
2017,6,28,00:00,UTC,-1,15.3,20.2,10
2017,6,29,00:00,UTC,-1,16.3,20.3,8.4
2017,6,30,00:00,UTC,-1,17.2,19.8,14.2
2017,7,1,00:00,UTC,0.1,14.1,18.2,13.2
2017,7,2,00:00,UTC,-1,16.4,19.6,13.4
2017,7,3,00:00,UTC,2.2,14.5,17.5,13.2
2017,7,4,00:00,UTC,0.9,14.1,18.5,11.5
2017,7,5,00:00,UTC,-1,14,17.8,12.2
2017,7,6,00:00,UTC,-1,11.5,16.7,8.3
2017,7,7,00:00,UTC,-1,14.7,20.2,7.8
2017,7,8,00:00,UTC,0.3,16.1,22.1,11.1
2017,7,9,00:00,UTC,-1,17.4,21.7,12.4
2017,7,10,00:00,UTC,-1,18,22.3,12
2017,7,11,00:00,UTC,7.8,16.8,18.9,14.8
2017,7,12,00:00,UTC,-1,16.8,21.1,15
2017,7,13,00:00,UTC,4.2,14.7,19.5,12.8
2017,7,14,00:00,UTC,-1,15.3,20.8,10.2
2017,7,15,00:00,UTC,-1,16.7,22.4,8.6
2017,7,16,00:00,UTC,-1,18,22.9,10.9
2017,7,17,00:00,UTC,2.7,15.4,18.8,13.2
2017,7,18,00:00,UTC,4.6,15,20.1,11
2017,7,19,00:00,UTC,0.3,13.7,16.6,10.2
2017,7,20,00:00,UTC,1.4,14.6,19.3,12.1
2017,7,21,00:00,UTC,-1,15.8,21.1,9.5
2017,7,22,00:00,UTC,3.3,15.6,21.1,9.8
2017,7,23,00:00,UTC,-1,16.9,21.7,10.6
2017,7,24,00:00,UTC,-1,15.7,18.7,11.1
2017,7,25,00:00,UTC,-1,16.1,20.6,13.2
2017,7,26,00:00,UTC,-1,17.2,22.5,12.4
2017,7,27,00:00,UTC,2.4,19,23.1,13.8
2017,7,28,00:00,UTC,-1,19.1,24.3,16.6
2017,7,29,00:00,UTC,-1,17.8,21.9,15.7
2017,7,30,00:00,UTC,0.9,18.3,22.7,13.5
2017,7,31,00:00,UTC,0.1,17.8,22.3,15.1
2017,8,1,00:00,UTC,12.3,18.9,23.2,15.6
2017,8,2,00:00,UTC,2.9,17.5,21.9,15.5
2017,8,3,00:00,UTC,10.3,18.2,22,15.3
2017,8,4,00:00,UTC,19.6,16.6,20.4,14.5
2017,8,5,00:00,UTC,-1,17.1,20.2,15
2017,8,6,00:00,UTC,11,16,20.5,14.5
2017,8,7,00:00,UTC,11,15.2,18.8,13.9
2017,8,8,00:00,UTC,-1,17.2,21.9,11.8
2017,8,9,00:00,UTC,0.1,18.3,22.4,13.2
2017,8,10,00:00,UTC,-1,18.7,22.3,17.1
2017,8,11,00:00,UTC,-1,18.1,22.3,13.7
2017,8,12,00:00,UTC,9.4,19.6,25,15.5
2017,8,13,00:00,UTC,0.2,17.4,20.9,16.1
2017,8,14,00:00,UTC,-1,16.1,21,10
2017,8,15,00:00,UTC,-1,16.4,20.7,11.8
2017,8,16,00:00,UTC,-1,17.6,20.8,12.2
