Year,m,d,Time,Time zone,Precipitation amount (mm),Air temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
2021,4,1,00:00,UTC,-1,4.6,10.3,-1
2021,4,2,00:00,UTC,-1,3.1,7,0.8
2021,4,3,00:00,UTC,-1,3.7,8.2,1
2021,4,4,00:00,UTC,4.2,4,8.3,-0.6
2021,4,5,00:00,UTC,3.5,2.4,4,1
2021,4,6,00:00,UTC,0,2.2,5.5,-0.2
2021,4,7,00:00,UTC,-1,3.2,7.2,1.4
2021,4,8,00:00,UTC,-1,3.8,8.7,0
2021,4,9,00:00,UTC,4,2.6,3.6,-0.6
2021,4,10,00:00,UTC,1.5,2.9,5.4,0.6
2021,4,11,00:00,UTC,0,5.3,10.1,1.9
2021,4,12,00:00,UTC,-1,8.8,13.7,4.3
2021,4,13,00:00,UTC,-1,5.8,10,4.4
2021,4,14,00:00,UTC,-1,4.3,8.8,0.5
2021,4,15,00:00,UTC,-1,5.5,10.5,0.5
2021,4,16,00:00,UTC,-1,8.4,13.9,2.3
2021,4,17,00:00,UTC,-1,10,15.4,4
2021,4,18,00:00,UTC,-1,10.2,15.1,4.2
2021,4,19,00:00,UTC,-1,8.8,12.5,5.5
2021,4,20,00:00,UTC,-1,7.4,11.3,1.9
2021,4,21,00:00,UTC,-1,7.1,13,3.2
2021,4,22,00:00,UTC,6.5,6.6,11.8,2
2021,4,23,00:00,UTC,4.5,2.9,6.1,0.4
2021,4,24,00:00,UTC,3.5,2.1,4.8,0.6
2021,4,25,00:00,UTC,3,3.4,7.1,1.4
2021,4,26,00:00,UTC,0,3.3,5.1,0.5
2021,4,27,00:00,UTC,0,3.8,6,2
2021,4,28,00:00,UTC,0.1,3.3,7.7,-1.5
2021,4,29,00:00,UTC,-1,4,9.1,-1.4
2021,4,30,00:00,UTC,-1,5,11.4,-1.7
2021,5,1,00:00,UTC,-1,5.5,9.2,-0.3
2021,5,2,00:00,UTC,-1,4.8,9.7,-0.1
2021,5,3,00:00,UTC,-1,6.5,9.6,1.6
2021,5,4,00:00,UTC,-1,6.9,11.3,3.7
2021,5,5,00:00,UTC,7.7,3.8,6.1,2.5
2021,5,6,00:00,UTC,0.5,5.7,8.6,4.1
