Year,m,d,Time,Time zone,Precipitation amount (mm),Air temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
2018,4,1,00:00,UTC,3.5,-0.4,2.5,-4.5
2018,4,2,00:00,UTC,8.5,-0.1,1.3,-0.9
2018,4,3,00:00,UTC,-1,0.1,4.1,-3.7
2018,4,4,00:00,UTC,0.9,0.5,3.8,-6.6
2018,4,5,00:00,UTC,1.6,4,6.9,1.5
2018,4,6,00:00,UTC,0.7,2.6,6.4,1.3
2018,4,7,00:00,UTC,-1,3.4,6.9,0.3
2018,4,8,00:00,UTC,-1,3.9,6.9,1.8
2018,4,9,00:00,UTC,2.7,6.2,11.5,1.4
2018,4,10,00:00,UTC,-1,3.3,7.5,-0.6
2018,4,11,00:00,UTC,-1,2.7,5.9,-0.7
2018,4,12,00:00,UTC,-1,3,7.5,-2.6
2018,4,13,00:00,UTC,-1,4.8,8.7,-1.4
2018,4,14,00:00,UTC,-1,6.4,11,1.4
2018,4,15,00:00,UTC,11,5.6,9.1,1
2018,4,16,00:00,UTC,2.8,6.9,10.9,3.6
2018,4,17,00:00,UTC,-1,7.6,10.4,6.4
2018,4,18,00:00,UTC,0.3,8.5,13.1,4.7
2018,4,19,00:00,UTC,-1,11.1,16.4,6.5
2018,4,20,00:00,UTC,0.2,7.8,12.2,5.5
2018,4,21,00:00,UTC,-1,9.3,14,5.3
2018,4,22,00:00,UTC,-1,4.5,9.3,3.2
2018,4,23,00:00,UTC,0.8,3.9,7,0.8
2018,4,24,00:00,UTC,2,5.5,7.8,3.8
2018,4,25,00:00,UTC,0.7,5.6,7.9,4.7
2018,4,26,00:00,UTC,3.5,6.9,11.3,3
2018,4,27,00:00,UTC,-1,5.5,9.3,2.6
2018,4,28,00:00,UTC,-1,6.6,9.9,4.2
2018,4,29,00:00,UTC,1.6,6.8,8.7,4.7
2018,4,30,00:00,UTC,0.8,6.9,11.4,3.8
2018,5,1,00:00,UTC,5.8,6.6,8.5,5.1
2018,5,2,00:00,UTC,0.6,6.4,8.2,4.2
2018,5,3,00:00,UTC,1.8,7.6,12.2,5
2018,5,4,00:00,UTC,-1,8.3,10.5,5.5
2018,5,5,00:00,UTC,-1,9.6,13.4,6.2
2018,5,6,00:00,UTC,-1,10.6,15.5,6.5
2018,5,7,00:00,UTC,-1,11.6,15.1,6.4
2018,5,8,00:00,UTC,-1,12.5,15.8,9.9
2018,5,9,00:00,UTC,-1,11.5,14.7,6.9
2018,5,10,00:00,UTC,-1,11.8,15.5,7.8
2018,5,11,00:00,UTC,-1,14.1,18.2,8.1
2018,5,12,00:00,UTC,-1,15.8,21.3,9.8
2018,5,13,00:00,UTC,-1,18.1,24.3,9.1
2018,5,14,00:00,UTC,-1,19.2,25,12.1
2018,5,15,00:00,UTC,-1,20.8,27.5,12.8
2018,5,16,00:00,UTC,-1,18.6,24.7,15.4
2018,5,17,00:00,UTC,-1,17.3,21.3,11.6
2018,5,18,00:00,UTC,-1,14.7,18.7,13
2018,5,19,00:00,UTC,-1,13.7,18.5,8.6
2018,5,20,00:00,UTC,-1,15.4,20.1,9.1
2018,5,21,00:00,UTC,-1,16.9,22.9,11
2018,5,22,00:00,UTC,-1,16.9,22.4,10.1
2018,5,23,00:00,UTC,-1,18.4,25.1,12.7
2018,5,24,00:00,UTC,-1,15,21.5,10.6
2018,5,25,00:00,UTC,-1,14.6,18.7,8.4
2018,5,26,00:00,UTC,-1,17.1,21.9,9.3
2018,5,27,00:00,UTC,-1,17.8,21.5,14.1
2018,5,28,00:00,UTC,-1,16.1,19.5,10.3
2018,5,29,00:00,UTC,-1,19.1,24.8,10.3
2018,5,30,00:00,UTC,-1,19.3,24.1,14.5
2018,5,31,00:00,UTC,-1,14.6,24.1,14.5
2018,6,1,00:00,UTC,-1,16.9,19.7,11.9
2018,6,2,00:00,UTC,-1,19,23.7,14.4
2018,6,3,00:00,UTC,0.1,20,26.1,13.5
2018,6,4,00:00,UTC,-1,16.2,22,13.6
2018,6,5,00:00,UTC,-1,10.2,13.7,8.2
2018,6,6,00:00,UTC,0.3,10,14.6,6.3
2018,6,7,00:00,UTC,-1,10.9,15.3,5.2
2018,6,8,00:00,UTC,-1,12,16.1,7.8
2018,6,9,00:00,UTC,-1,13.7,20,7.9
2018,6,10,00:00,UTC,-1,14.7,18.2,8.7
2018,6,11,00:00,UTC,2.2,18.1,22.6,13.4
2018,6,12,00:00,UTC,0.5,16.3,20.5,12.4
2018,6,13,00:00,UTC,-1,15.3,19.8,10.3
2018,6,14,00:00,UTC,-1,16,20.1,12.3
2018,6,15,00:00,UTC,-1,16.6,20.2,13.3
2018,6,16,00:00,UTC,-1,17.1,21.3,12
2018,6,17,00:00,UTC,-1,18.3,22.8,12.3
2018,6,18,00:00,UTC,-1,17.5,20.3,16.5
2018,6,19,00:00,UTC,7.5,15.1,17.3,12.1
2018,6,20,00:00,UTC,-1,15.7,19.2,13.9
2018,6,21,00:00,UTC,23.1,13.4,15,11.2
2018,6,22,00:00,UTC,0.9,12.1,14.6,10.5
2018,6,23,00:00,UTC,-1,13.1,15.9,9.4
2018,6,24,00:00,UTC,1.1,14.6,18.4,8.7
2018,6,25,00:00,UTC,-1,15,18,13.2
2018,6,26,00:00,UTC,-1,16.6,20.9,12.5
2018,6,27,00:00,UTC,-1,17.5,20.6,13.6
2018,6,28,00:00,UTC,4.1,19,22.4,14.1
2018,6,29,00:00,UTC,0.5,14.3,20,13.3
2018,6,30,00:00,UTC,-1,14.5,18.7,10
2018,7,1,00:00,UTC,0.8,15.9,20.1,10.4
2018,7,2,00:00,UTC,14.1,13,18.2,10.5
2018,7,3,00:00,UTC,3.7,13,14.6,12.1
2018,7,4,00:00,UTC,0.9,15.6,19.6,10.1
2018,7,5,00:00,UTC,4.1,16.8,20.5,13.3
2018,7,6,00:00,UTC,-1,17.8,22,15.1
2018,7,7,00:00,UTC,-1,21,25.7,15.3
2018,7,8,00:00,UTC,-1,18.8,23.7,15.2
2018,7,9,00:00,UTC,-1,18.1,21.4,13.6
2018,7,10,00:00,UTC,-1,17.1,20.6,14.5
2018,7,11,00:00,UTC,-1,18.2,21.6,15
2018,7,12,00:00,UTC,-1,20.5,24.3,16.2
2018,7,13,00:00,UTC,-1,21.6,26.3,16.6
2018,7,14,00:00,UTC,-1,22.5,27.3,16.3
2018,7,15,00:00,UTC,-1,25.1,29.7,18.9
2018,7,16,00:00,UTC,-1,25,29.4,19.4
2018,7,17,00:00,UTC,-1,26.4,30.4,20.2
2018,7,18,00:00,UTC,-1,25,28.4,21.9
2018,7,19,00:00,UTC,6.7,24.1,27.5,19.6
2018,7,20,00:00,UTC,13.8,21,25.1,18.2
2018,7,21,00:00,UTC,-1,22.1,24.6,19.4
2018,7,22,00:00,UTC,-1,22.1,25.7,19
2018,7,23,00:00,UTC,-1,22.1,25.2,16.9
2018,7,24,00:00,UTC,-1,23.1,26.6,18.1
2018,7,25,00:00,UTC,-1,24.6,28.4,19.6
2018,7,26,00:00,UTC,-1,23.6,26.6,19.2
2018,7,27,00:00,UTC,-1,24.3,27.6,20.5
2018,7,28,00:00,UTC,0.1,24.6,27.5,21.8
2018,7,29,00:00,UTC,-1,24,25.6,22.8
2018,7,30,00:00,UTC,-1,24,26.2,21.7
2018,7,31,00:00,UTC,-1,23.9,26.5,21.7
2018,8,1,00:00,UTC,-1,23.8,27,21.4
2018,8,2,00:00,UTC,-1,25.4,30,20.4
2018,8,3,00:00,UTC,1.4,25.1,28.4,22.5
2018,8,4,00:00,UTC,-1,21.8,26.2,18.3
2018,8,5,00:00,UTC,-1,20.4,25.5,17
2018,8,6,00:00,UTC,-1,18.6,22.8,15.3
2018,8,7,00:00,UTC,-1,18.8,23.4,14.9
2018,8,8,00:00,UTC,-1,19.1,22.9,12.1
2018,8,9,00:00,UTC,-1,23.3,27.5,19
2018,8,10,00:00,UTC,0.6,23,27.7,19.6
2018,8,11,00:00,UTC,1,20,22.1,19.4
2018,8,12,00:00,UTC,2.4,16.4,19.5,14.7
2018,8,13,00:00,UTC,-1,16.6,21.6,12.3
2018,8,14,00:00,UTC,-1,16.7,19.8,11.5
2018,8,15,00:00,UTC,-1,17.9,21.9,16.2
2018,8,16,00:00,UTC,-1,17.4,21.1,12
2018,8,17,00:00,UTC,-1,20,23.5,16.8
2018,8,18,00:00,UTC,3.6,20,23.2,18.2
2018,8,19,00:00,UTC,-1,18.6,21.6,17
2018,8,20,00:00,UTC,20.1,15,19.5,12.9
2018,8,21,00:00,UTC,-1,14.8,19.5,10.9
2018,8,22,00:00,UTC,-1,15.1,19.4,9.6
2018,8,23,00:00,UTC,-1,17.4,20.8,15.5
2018,8,24,00:00,UTC,7.3,18.8,22.4,15.5
2018,8,25,00:00,UTC,-1,16.7,19.5,16.3
2018,8,26,00:00,UTC,14.2,15.2,18.9,13.1
2018,8,27,00:00,UTC,-1,15.1,18.4,11.8
2018,8,28,00:00,UTC,-1,16.3,18,12.3
2018,8,29,00:00,UTC,-1,16.6,20.6,12.9
2018,8,30,00:00,UTC,0.6,15.2,16.6,13.5
2018,8,31,00:00,UTC,0.3,16.2,18.8,12.8
2018,9,1,00:00,UTC,3.4,16.9,18.8,15.7
2018,9,2,00:00,UTC,-1,16.9,21.4,14.9
2018,9,3,00:00,UTC,-1,16.5,19.9,13.3
2018,9,4,00:00,UTC,-1,15.6,18.6,12.2
