Year,m,d,Time,Time zone,Precipitation amount (mm),Air temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
2016,5,1,00:00,UTC,-1,11.1,16.4,5.1
2016,5,2,00:00,UTC,-1,12.1,17.8,5.9
2016,5,3,00:00,UTC,-1,11.9,17.7,4.6
2016,5,4,00:00,UTC,-1,14.3,20.4,5.7
2016,5,5,00:00,UTC,-1,15.5,21.5,8.9
2016,5,6,00:00,UTC,-1,14.8,19.7,8.1
2016,5,7,00:00,UTC,-1,13.7,19.2,6.8
2016,5,8,00:00,UTC,-1,16.1,21.6,7.5
2016,5,9,00:00,UTC,-1,16.4,21.8,9.6
2016,5,10,00:00,UTC,0.6,16.8,22.1,9.9
2016,5,11,00:00,UTC,-1,11.8,17.4,8.3
2016,5,12,00:00,UTC,-1,10.5,14.3,4.6
2016,5,13,00:00,UTC,-1,12.6,16.7,8.1
2016,5,14,00:00,UTC,5.4,11.6,12.6,10.3
2016,5,15,00:00,UTC,1,13.6,17.8,11
2016,5,16,00:00,UTC,0.3,10.9,15.6,9.1
2016,5,17,00:00,UTC,-1,10.6,13.6,8.3
2016,5,18,00:00,UTC,-1,11.4,16.2,7.6
2016,5,19,00:00,UTC,-1,11.1,15.8,5.2
2016,5,20,00:00,UTC,-1,13,17.3,6.9
2016,5,21,00:00,UTC,-1,16.2,22.6,8.8
2016,5,22,00:00,UTC,-1,14.6,19.3,9.5
2016,5,23,00:00,UTC,-1,16.8,21.9,9.2
2016,5,24,00:00,UTC,-1,17.6,22.7,10.5
2016,5,25,00:00,UTC,-1,18.9,24.1,11.7
2016,5,26,00:00,UTC,-1,14.4,20.7,12.9
2016,5,27,00:00,UTC,-1,14.5,19.8,9.4
2016,5,28,00:00,UTC,-1,13.4,16.1,11.8
2016,5,29,00:00,UTC,-1,14.9,19.3,11.4
2016,5,30,00:00,UTC,-1,18.7,23.5,12.1
2016,5,31,00:00,UTC,-1,20.1,23.7,16.5
2016,6,1,00:00,UTC,-1,18.9,23.1,12.6
2016,6,2,00:00,UTC,14.2,18.6,27.1,12.8
2016,6,3,00:00,UTC,-1,19.8,25.5,13.1
2016,6,4,00:00,UTC,-1,14.3,21.6,10.5
2016,6,5,00:00,UTC,0.2,11.1,14.6,6.2
2016,6,6,00:00,UTC,-1,11,15.4,6
2016,6,7,00:00,UTC,5.7,13.7,18.4,7.7
2016,6,8,00:00,UTC,2.9,12.4,15.8,11.4
2016,6,9,00:00,UTC,-1,9.8,12.3,7.6
2016,6,10,00:00,UTC,0.3,10,13.3,6.1
2016,6,11,00:00,UTC,-1,12.1,16.7,5.4
2016,6,12,00:00,UTC,-1,12.8,17.9,7.8
2016,6,13,00:00,UTC,-1,14.6,20.1,8.5
2016,6,14,00:00,UTC,-1,15.3,19.9,8.8
2016,6,15,00:00,UTC,9,17.5,21.3,9.6
2016,6,16,00:00,UTC,46.1,14.3,19.7,13.1
2016,6,17,00:00,UTC,31,15.7,21.5,13.3
2016,6,18,00:00,UTC,16,14.3,17.1,12.2
2016,6,19,00:00,UTC,0.7,13.4,15.1,12.3
2016,6,20,00:00,UTC,-1,15.2,20.6,12.2
2016,6,21,00:00,UTC,-1,16.9,21.9,10.2
2016,6,22,00:00,UTC,-1,16.6,21.2,13
2016,6,23,00:00,UTC,1.2,16,19.5,12.7
2016,6,24,00:00,UTC,0.4,16.2,20.5,13.7
2016,6,25,00:00,UTC,-1,18.7,24.1,14.4
2016,6,26,00:00,UTC,-1,20.9,25.4,15.7
2016,6,27,00:00,UTC,16,16.2,21.1,14.4
2016,6,28,00:00,UTC,-1,18.5,22.8,13.2
2016,6,29,00:00,UTC,-1,18.9,22.9,15.4
2016,6,30,00:00,UTC,0.1,18.8,22.6,15.6
2016,7,1,00:00,UTC,-1,19.1,22.4,14.7
2016,7,2,00:00,UTC,10.7,20.6,24.6,16.9
2016,7,3,00:00,UTC,7,18,21.6,15.9
2016,7,4,00:00,UTC,7.3,13.6,17.4,12
2016,7,5,00:00,UTC,1.4,14.7,19.2,11.2
2016,7,6,00:00,UTC,4.9,17.1,22.2,14
2016,7,7,00:00,UTC,1,13.1,16.3,12
2016,7,8,00:00,UTC,-1,15.8,21.5,12.6
2016,7,9,00:00,UTC,-1,16.6,22.3,11.1
2016,7,10,00:00,UTC,1.2,16,20.7,13.5
2016,7,11,00:00,UTC,4.5,15.8,19.4,12.9
2016,7,12,00:00,UTC,0.1,17.7,21.3,15.6
2016,7,13,00:00,UTC,-1,17.9,21.6,15.6
2016,7,14,00:00,UTC,-1,17.8,21.8,14
2016,7,15,00:00,UTC,17.6,15.7,17.9,13
2016,7,16,00:00,UTC,-1,17.3,21.9,14.8
2016,7,17,00:00,UTC,-1,16,20.5,14.5
2016,7,18,00:00,UTC,0.1,17.4,21.8,13.8
2016,7,19,00:00,UTC,-1,18.2,23.1,12.2
2016,7,20,00:00,UTC,0.1,18.5,23.4,11.8
2016,7,21,00:00,UTC,-1,18.5,22.6,17
2016,7,22,00:00,UTC,-1,18,19.5,16.7
2016,7,23,00:00,UTC,-1,18.8,21.1,16.6
2016,7,24,00:00,UTC,-1,20.6,24.8,16.8
2016,7,25,00:00,UTC,-1,19.9,23.3,16.3
2016,7,26,00:00,UTC,-1,20.7,24.8,16.1
2016,7,27,00:00,UTC,-1,21.2,25.7,17.2
2016,7,28,00:00,UTC,2.2,18.5,23,14.9
2016,7,29,00:00,UTC,-1,18.6,23.3,15.2
2016,7,30,00:00,UTC,0.9,20.2,25,15.7
2016,7,31,00:00,UTC,0.3,18.8,21.8,16.7
2016,8,1,00:00,UTC,0.1,17.8,19.9,15.9
2016,8,2,00:00,UTC,0,17.4,21.2,15
2016,8,3,00:00,UTC,-1,17.9,22.1,14.6
2016,8,4,00:00,UTC,6.1,16.8,20.3,14.8
2016,8,5,00:00,UTC,4.6,18.5,21.1,16
2016,8,6,00:00,UTC,0.1,17.9,20.8,16.2
2016,8,7,00:00,UTC,-1,17.9,22.3,15.6
2016,8,8,00:00,UTC,1.5,18.1,21.5,14.4
2016,8,9,00:00,UTC,2.6,16.7,18.9,15.3
2016,8,10,00:00,UTC,1.8,15.4,19.4,12
2016,8,11,00:00,UTC,-1,14.4,17.9,12.9
2016,8,12,00:00,UTC,0.4,13.6,17.7,8.7
2016,8,13,00:00,UTC,2.9,14.7,17.2,12.5
2016,8,14,00:00,UTC,9.5,15.8,20.6,13.5
2016,8,15,00:00,UTC,0.5,14.1,18.6,9.3
2016,8,16,00:00,UTC,4.7,14.7,16.2,12.2
2016,8,17,00:00,UTC,3.1,15,18.3,13
2016,8,18,00:00,UTC,0.3,15.6,18.4,13.3
2016,8,19,00:00,UTC,1.3,17.1,19.9,14.8
2016,8,20,00:00,UTC,-1,18.2,22.4,14.1
2016,8,21,00:00,UTC,0,19,22.5,13.7
2016,8,22,00:00,UTC,0.8,17.9,21.4,17
2016,8,23,00:00,UTC,0,16.7,20.6,13.9
2016,8,24,00:00,UTC,-1,14.6,19.4,12
2016,8,25,00:00,UTC,5.9,16.6,20,12.1
2016,8,26,00:00,UTC,-1,17,18.4,15.3
2016,8,27,00:00,UTC,-1,18.1,20.6,16.6
2016,8,28,00:00,UTC,1.3,14.3,18.2,9.8
2016,8,29,00:00,UTC,11.2,13.6,15.3,12.6
2016,8,30,00:00,UTC,0.4,13.1,17.9,11.5
2016,8,31,00:00,UTC,-1,15.1,21,8.3
2016,9,1,00:00,UTC,-1,16.9,20.6,14.6
2016,9,2,00:00,UTC,-1,15.6,19.6,13.7
2016,9,3,00:00,UTC,39.2,13.4,16.8,8.2
2016,9,4,00:00,UTC,-1,14.9,18,13
2016,9,5,00:00,UTC,-1,14.2,19.9,10.5
2016,9,6,00:00,UTC,-1,13.1,17.6,7.3
2016,9,7,00:00,UTC,-1,18.2,23.2,14.9
2016,9,8,00:00,UTC,-1,14.7,19.7,11.8
2016,9,9,00:00,UTC,-1,13.9,18.7,7.3
2016,9,10,00:00,UTC,-1,15.2,20.2,11.1
2016,9,11,00:00,UTC,0,15.7,19.4,12.4
2016,9,12,00:00,UTC,-1,15.9,20.2,13.7
2016,9,13,00:00,UTC,-1,13.9,19.6,7.4
2016,9,14,00:00,UTC,-1,12.3,16.7,6.7
2016,9,15,00:00,UTC,-1,13.3,19,9.6
2016,9,16,00:00,UTC,-1,11.5,15.3,8.3
2016,9,17,00:00,UTC,-1,10.8,13.3,8.9
2016,9,18,00:00,UTC,-1,10.4,15.5,5.8
2016,9,19,00:00,UTC,-1,9.8,14.8,5.5
2016,9,20,00:00,UTC,-1,10.5,16.3,5.4
2016,9,21,00:00,UTC,-1,10.3,16.2,5.7
2016,9,22,00:00,UTC,-1,10.1,13.9,6.5
2016,9,23,00:00,UTC,-1,8.4,10.9,5.2
2016,9,24,00:00,UTC,-1,9,11.5,5.9
2016,9,25,00:00,UTC,-1,12.6,15.4,8.8
2016,9,26,00:00,UTC,-1,13.7,16.4,11.5
2016,9,27,00:00,UTC,-1,12.9,16.5,9.7
2016,9,28,00:00,UTC,5.9,12.7,13.8,11.2
2016,9,29,00:00,UTC,5.9,12.9,14.9,9.5
2016,9,30,00:00,UTC,-1,13.3,15.9,11.6
2016,10,1,00:00,UTC,-1,11.3,15,9.8
2016,10,2,00:00,UTC,-1,8.9,14.7,4
2016,10,3,00:00,UTC,-1,7.8,13.1,2.9
2016,10,4,00:00,UTC,-1,5.6,8.5,3
2016,10,5,00:00,UTC,-1,6.2,10.4,2.9
2016,10,6,00:00,UTC,-1,6,9.5,2.7
2016,10,7,00:00,UTC,-1,6.1,10.6,2.2
2016,10,8,00:00,UTC,0.3,7.7,10.4,6.2
2016,10,9,00:00,UTC,-1,6,7.5,4.9
2016,10,10,00:00,UTC,-1,6,9.1,2.7
2016,10,11,00:00,UTC,-1,5.1,6.9,4.5
2016,10,12,00:00,UTC,-1,3.9,5.7,3.1
2016,10,13,00:00,UTC,0,1.1,3.1,-0.4
2016,10,14,00:00,UTC,0.3,2.6,3.5,1.1
2016,10,15,00:00,UTC,0,4.5,5.8,2.6
2016,10,16,00:00,UTC,-1,5.5,7.7,4.6
2016,10,17,00:00,UTC,-1,6.4,7,4.8
2016,10,18,00:00,UTC,-1,6.2,7.5,4.7
2016,10,19,00:00,UTC,-1,5.2,7.7,1
2016,10,20,00:00,UTC,-1,5.5,7.7,2.3
